Category: All categories

Month,Netflix: (Afghanistan),Netflix: (Albania),Netflix: (Algeria),Netflix: (American Samoa),Netflix: (Andorra),Netflix: (Angola),Netflix: (Anguilla),Netflix: (Antarctica),Netflix: (Antigua & Barbuda),Netflix: (Argentina),Netflix: (Armenia),Netflix: (Aruba),Netflix: (Australia),Netflix: (Austria),Netflix: (Azerbaijan),Netflix: (Bahamas),Netflix: (Bahrain),Netflix: (Bangladesh),Netflix: (Barbados),Netflix: (Belarus),Netflix: (Belgium),Netflix: (Belize),Netflix: (Benin),Netflix: (Bermuda),Netflix: (Bhutan),Netflix: (Bolivia),Netflix: (Bosnia & Herzegovina),Netflix: (Botswana),Netflix: (Bouvet Island),Netflix: (Brazil),Netflix: (British Indian Ocean Territory),Netflix: (Brunei),Netflix: (Bulgaria),Netflix: (Burkina Faso),Netflix: (Burundi),Netflix: (Cambodia),Netflix: (Cameroon),Netflix: (Canada),Netflix: (Cape Verde),Netflix: (Caribbean Netherlands),Netflix: (Cayman Islands),Netflix: (Central African Republic),Netflix: (Chile),Netflix: (Christmas Island),Netflix: (Cocos (Keeling) Islands),Netflix: (Colombia),Netflix: (Comoros),Netflix: (Congo - Brazzaville),Netflix: (Congo - Kinshasa),Netflix: (Cook Islands),Netflix: (Costa Rica),Netflix: (Croatia),Netflix: (Cuba),Netflix: (Curaçao),Netflix: (Cyprus),Netflix: (Czechia),Netflix: (Côte d’Ivoire),Netflix: (Denmark),Netflix: (Djibouti),Netflix: (Dominica),Netflix: (Dominican Republic),Netflix: (Ecuador),Netflix: (Egypt),Netflix: (El Salvador),Netflix: (Equatorial Guinea),Netflix: (Eritrea),Netflix: (Estonia),Netflix: (Eswatini),Netflix: (Ethiopia),Netflix: (Falkland Islands (Islas Malvinas)),Netflix: (Faroe Islands),Netflix: (Fiji),Netflix: (Finland),Netflix: (France),Netflix: (French Guiana),Netflix: (French Polynesia),Netflix: (Gabon),Netflix: (Gambia),Netflix: (Georgia),Netflix: (Germany),Netflix: (Ghana),Netflix: (Gibraltar),Netflix: (Greece),Netflix: (Greenland),Netflix: (Grenada),Netflix: (Guadeloupe),Netflix: (Guam),Netflix: (Guatemala),Netflix: (Guernsey),Netflix: (Guinea),Netflix: (Guinea-Bissau),Netflix: (Guyana),Netflix: (Haiti),Netflix: (Heard & McDonald Islands),Netflix: (Honduras),Netflix: (Hong Kong),Netflix: (Hungary),Netflix: (Iceland),Netflix: (India),Netflix: (Indonesia),Netflix: (Iran),Netflix: (Iraq),Netflix: (Ireland),Netflix: (Isle of Man),Netflix: (Israel),Netflix: (Italy),Netflix: (Jamaica),Netflix: (Japan),Netflix: (Jersey),Netflix: (Jordan),Netflix: (Kazakhstan),Netflix: (Kenya),Netflix: (Kiribati),Netflix: (Kuwait),Netflix: (Kyrgyzstan),Netflix: (Laos),Netflix: (Latvia),Netflix: (Lebanon),Netflix: (Lesotho),Netflix: (Liberia),Netflix: (Libya),Netflix: (Liechtenstein),Netflix: (Lithuania),Netflix: (Luxembourg),Netflix: (Macao),Netflix: (Madagascar),Netflix: (Malawi),Netflix: (Malaysia),Netflix: (Maldives),Netflix: (Mali),Netflix: (Malta),Netflix: (Marshall Islands),Netflix: (Martinique),Netflix: (Mauritania),Netflix: (Mauritius),Netflix: (Mexico),Netflix: (Micronesia),Netflix: (Moldova),Netflix: (Monaco),Netflix: (Mongolia),Netflix: (Montenegro),Netflix: (Montserrat),Netflix: (Morocco),Netflix: (Mozambique),Netflix: (Myanmar (Burma)),Netflix: (Namibia),Netflix: (Nauru),Netflix: (Nepal),Netflix: (Netherlands),Netflix: (New Caledonia),Netflix: (New Zealand),Netflix: (Nicaragua),Netflix: (Niger),Netflix: (Nigeria),Netflix: (Niue),Netflix: (Norfolk Island),Netflix: (North Macedonia),Netflix: (Northern Mariana Islands),Netflix: (Norway),Netflix: (Oman),Netflix: (Pakistan),Netflix: (Palau),Netflix: (Palestine),Netflix: (Panama),Netflix: (Papua New Guinea),Netflix: (Paraguay),Netflix: (Peru),Netflix: (Philippines),Netflix: (Pitcairn Islands),Netflix: (Poland),Netflix: (Portugal),Netflix: (Puerto Rico),Netflix: (Qatar),Netflix: (Romania),Netflix: (Rwanda),Netflix: (Réunion),Netflix: (San Marino),Netflix: (Saudi Arabia),Netflix: (Senegal),Netflix: (Serbia),Netflix: (Seychelles),Netflix: (Sierra Leone),Netflix: (Singapore),Netflix: (Sint Maarten),Netflix: (Slovakia),Netflix: (Slovenia),Netflix: (Solomon Islands),Netflix: (Somalia),Netflix: (South Georgia & South Sandwich Islands),Netflix: (South Korea),Netflix: (South Sudan),Netflix: (Spain),Netflix: (Sri Lanka),Netflix: (St. Barthélemy),Netflix: (St. Helena),Netflix: (St. Kitts & Nevis),Netflix: (St. Lucia),Netflix: (St. Martin),Netflix: (St. Pierre & Miquelon),Netflix: (Sudan),Netflix: (Suriname),Netflix: (Svalbard & Jan Mayen),Netflix: (Sweden),Netflix: (Switzerland),Netflix: (São Tomé & Príncipe),Netflix: (United Arab Emirates),Netflix: (United Kingdom),Netflix: (Western Sahara),Netflix: (Åland Islands)
2017-01-01,3,2,1,25,15,2,26,0,12,25,0,17,22,9,1,14,4,1,15,0,13,11,0,24,0,6,2,3,0,32,0,3,1,0,0,2,1,26,2,22,26,0,23,0,0,16,0,0,0,0,19,2,3,13,3,2,1,21,0,12,15,13,1,15,0,0,3,0,1,0,24,3,19,9,8,7,1,3,1,8,1,14,1,20,16,5,18,10,15,0,0,10,2,0,13,5,1,16,1,0,0,0,23,12,2,8,11,1,13,1,0,2,0,2,0,1,2,2,0,0,0,8,1,11,2,1,0,1,7,0,7,0,4,0,3,26,32,0,8,1,1,0,2,1,1,3,0,1,19,10,20,10,0,1,0,0,2,23,20,1,1,0,2,12,1,10,15,3,0,3,6,18,3,2,1,6,9,2,1,1,0,0,5,19,1,2,0,2,0,1,0,10,1,0,3,21,11,15,36,0,4,0,18,8,0,5,14,0,15
2017-02-01,3,1,1,16,12,2,0,0,11,26,0,16,16,7,0,15,3,1,12,0,12,10,0,21,0,5,1,2,0,28,0,2,1,0,0,2,1,22,2,19,23,0,22,0,0,12,0,0,0,0,18,2,0,16,3,1,1,18,3,12,14,14,1,12,0,0,3,0,1,0,20,2,17,8,6,6,1,0,1,8,1,9,1,16,15,5,17,8,14,0,0,10,3,0,8,3,1,14,1,0,0,0,21,13,2,7,10,1,14,1,0,2,0,2,0,1,2,2,0,0,0,5,1,9,3,1,0,1,5,0,7,0,4,0,3,21,36,0,8,2,1,0,2,1,1,3,0,1,19,7,17,9,0,1,0,0,2,18,19,1,1,0,1,12,1,11,15,3,0,3,5,14,3,2,1,5,9,2,1,1,0,0,5,16,1,2,0,1,0,1,0,10,1,0,3,23,9,14,29,0,3,0,14,7,0,4,12,0,10
2017-03-01,3,2,1,0,13,2,37,0,13,24,0,15,16,7,0,13,3,1,12,0,10,11,0,20,0,5,1,3,0,26,0,3,1,0,0,2,1,21,3,16,21,0,19,0,0,12,0,0,0,0,15,2,2,15,3,1,1,16,3,17,13,15,0,12,0,0,2,0,1,0,23,4,15,8,11,7,0,0,1,7,1,9,1,12,19,6,17,9,13,0,0,10,3,0,9,4,1,13,1,0,0,0,19,12,2,7,10,1,12,1,0,2,0,2,0,1,2,2,0,0,0,5,1,8,1,1,1,1,6,0,6,32,4,1,3,23,40,0,8,1,1,0,2,1,1,3,0,1,15,8,16,8,0,1,0,0,2,14,17,1,1,0,1,11,1,9,14,4,0,3,5,13,3,2,1,6,8,2,2,1,0,0,5,16,1,2,0,1,0,1,0,9,1,8,3,24,10,13,0,0,3,0,13,7,0,4,11,0,14
2017-04-01,2,2,1,18,15,3,25,0,15,28,0,18,20,8,0,14,4,1,11,0,12,13,1,19,0,6,1,3,0,34,0,4,1,0,0,2,1,22,4,25,21,0,23,0,0,16,0,0,0,0,20,2,2,15,4,2,1,19,4,16,19,17,0,15,9,0,2,0,1,0,24,3,15,9,11,8,2,0,1,9,1,10,2,18,17,6,19,11,14,1,0,11,3,0,12,4,1,17,1,0,0,0,23,15,3,8,11,1,15,1,0,2,0,2,0,1,2,3,0,0,0,7,1,9,2,1,0,2,5,0,7,40,5,0,3,29,31,0,0,1,1,0,2,1,1,4,0,1,18,9,25,11,0,1,0,0,2,27,19,2,1,0,1,12,1,14,16,6,0,3,6,17,3,2,1,6,7,2,1,1,0,0,6,17,2,2,0,1,0,1,0,11,1,0,2,27,11,17,0,0,5,0,14,8,0,4,12,0,10
2017-05-01,3,2,1,0,12,2,26,0,12,29,0,12,18,7,0,13,4,1,14,0,11,14,1,19,0,6,1,3,0,31,0,3,1,0,0,2,1,21,3,26,27,0,24,0,0,15,0,0,0,0,18,2,3,16,3,2,1,16,6,15,18,15,1,15,0,0,3,0,1,0,26,3,13,9,8,9,0,0,1,9,1,9,2,20,17,6,18,10,11,1,0,9,3,0,11,4,1,16,1,0,0,0,20,12,3,8,10,1,14,1,0,2,0,3,0,1,2,2,0,0,0,5,1,10,2,1,1,2,6,1,7,38,6,0,3,25,25,0,7,1,1,71,2,1,1,5,0,1,16,11,20,11,0,1,0,0,2,21,16,2,1,0,2,14,0,13,16,4,0,4,5,17,3,2,1,8,0,2,2,1,5,0,6,22,1,2,0,1,0,2,0,11,1,0,3,22,11,13,26,0,4,0,12,7,0,4,12,0,13
2017-06-01,3,2,1,33,13,2,21,0,14,26,0,17,19,7,1,17,5,1,14,0,11,11,0,21,2,7,1,4,0,29,0,3,1,0,0,2,1,20,3,36,31,0,24,0,0,17,0,0,0,0,18,2,1,17,4,2,1,16,4,16,18,16,1,16,0,0,3,0,1,0,21,4,16,9,11,11,0,0,1,8,1,8,2,15,14,7,20,12,12,0,0,13,3,0,12,4,1,17,1,0,0,0,20,12,3,7,11,1,12,1,0,3,0,3,0,1,2,3,0,0,0,5,2,9,2,1,0,2,7,0,8,0,7,1,3,25,36,0,10,1,1,0,2,1,2,4,0,2,16,10,20,11,0,1,0,0,3,29,18,2,2,0,1,13,3,12,15,4,0,4,6,18,4,2,2,8,8,2,2,1,0,0,6,19,1,2,0,2,0,2,0,9,1,0,3,26,10,18,56,0,4,0,14,7,0,5,11,0,14
2017-07-01,3,2,1,20,13,2,0,0,17,33,1,20,19,8,1,15,5,1,15,1,14,17,0,25,0,9,2,5,0,32,0,3,1,0,0,2,1,23,4,27,29,0,32,0,0,18,0,3,0,0,24,4,3,21,5,2,1,19,4,23,21,19,1,19,0,0,4,0,1,0,30,6,17,11,12,11,2,0,1,10,1,13,3,21,20,9,20,12,14,1,0,15,3,0,15,4,2,17,1,0,0,0,21,15,3,8,13,1,15,2,0,3,0,3,0,1,2,3,0,0,0,7,2,12,2,2,1,2,7,0,9,0,8,0,4,34,40,1,10,2,2,0,2,1,2,4,0,2,20,14,22,13,0,1,0,0,3,28,20,2,1,0,1,15,1,13,21,4,0,4,6,20,4,2,2,11,0,2,2,2,6,0,6,24,2,2,0,1,0,2,3,12,1,0,3,33,16,19,34,0,5,0,15,9,0,5,14,0,12
2017-08-01,3,3,1,27,14,3,32,0,16,30,1,21,18,9,1,16,5,1,16,1,15,14,0,27,0,8,2,3,0,31,0,3,1,0,0,2,1,23,4,35,29,0,26,0,0,17,0,0,1,0,23,4,3,20,6,2,1,18,7,18,21,20,1,19,0,0,4,0,1,0,17,6,15,13,16,15,2,0,1,11,1,16,3,17,25,12,19,12,14,0,0,14,3,0,14,4,2,15,2,0,0,0,23,15,4,9,13,1,17,2,0,3,0,3,0,1,2,3,0,2,1,8,2,14,2,1,1,2,6,1,11,43,10,0,5,30,37,1,14,2,2,0,3,1,2,4,0,1,20,16,20,12,0,1,0,0,3,22,19,2,1,0,2,15,1,13,22,4,0,4,8,18,4,3,2,12,0,2,2,2,0,2,6,20,2,2,0,2,0,2,0,14,1,0,4,25,13,13,0,0,5,0,17,10,0,5,15,0,12
2017-09-01,4,3,1,31,20,3,0,0,17,30,1,18,18,9,1,17,5,1,15,1,14,9,0,21,0,8,2,4,0,30,0,3,1,0,0,2,1,24,4,31,23,0,26,0,0,17,0,0,0,0,22,4,3,16,6,2,1,19,9,15,22,21,1,17,0,0,4,0,1,0,20,6,16,12,12,13,2,0,1,11,1,15,3,23,15,9,17,11,15,0,0,12,4,0,15,4,2,17,2,0,0,0,23,16,5,11,12,1,18,2,0,3,0,3,0,1,2,4,0,2,0,11,2,13,2,2,1,2,8,0,12,0,10,1,5,28,0,0,9,2,2,0,3,1,2,5,0,2,19,15,21,14,0,1,0,0,3,28,19,3,2,0,2,16,2,13,20,5,0,5,7,21,4,3,2,11,8,3,2,2,5,0,7,27,2,3,0,3,0,2,0,15,1,0,4,27,15,0,0,0,5,0,17,10,0,5,14,0,14
2017-10-01,5,3,1,19,17,3,0,0,14,28,1,16,19,11,1,14,5,1,13,1,15,13,1,26,0,8,2,4,0,30,0,4,1,0,0,3,1,24,4,23,27,0,24,0,0,18,0,0,0,0,22,3,2,17,5,2,1,20,5,0,17,18,0,17,0,0,3,0,1,0,25,5,16,13,13,16,2,0,1,14,1,12,3,20,15,10,21,13,15,0,0,11,3,0,14,4,2,18,2,0,0,0,26,14,5,11,12,1,17,1,0,3,0,3,0,1,2,4,0,0,0,8,2,13,2,2,2,2,6,1,10,35,9,0,5,27,26,0,11,1,2,0,2,1,2,5,0,2,21,15,21,12,0,1,0,0,3,19,18,2,1,0,2,14,2,14,19,5,0,5,7,16,4,4,2,11,6,2,2,2,0,0,6,23,2,3,0,2,0,1,3,13,1,0,5,31,14,25,35,0,5,0,16,11,0,5,15,0,12
